Category,match_score_pct,Skills Matched,Skills Missing
CHEF,1.06,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.06,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.06,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.06,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.06,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.06,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.05,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.05,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CHEF,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BPO,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.05,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.04,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
HR,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AUTOMOBILE,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.04,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,1.03,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.03,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.03,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.03,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.03,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AUTOMOBILE,1.03,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,1.03,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.03,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.02,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.02,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.02,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,1.02,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.02,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.02,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.02,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.02,TABLEAU,"PYTHON, SQL, NLP, MACHINE LEARNING"
CONSTRUCTION,1.02,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.02,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.02,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.02,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.01,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.01,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.0,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.0,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.0,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.99,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.99,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,0.99,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.99,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.99,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.99,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,0.99,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.98,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.98,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.97,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,0.97,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.96,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.96,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.96,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.95,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.95,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.95,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,0.95,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.95,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.95,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.95,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.94,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.94,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,0.93,TABLEAU,"PYTHON, SQL, NLP, MACHINE LEARNING"
CHEF,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,0.93,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.93,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.92,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.92,"SQL, NLP","PYTHON, MACHINE LEARNING, TABLEAU"
ADVOCATE,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,0.92,TABLEAU,"PYTHON, SQL, NLP, MACHINE LEARNING"
BPO,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.92,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.92,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.91,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.91,"SQL, TABLEAU","PYTHON, NLP, MACHINE LEARNING"
TEACHER,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,0.91,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,0.91,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.91,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,0.9,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,0.9,TABLEAU,"PYTHON, SQL, NLP, MACHINE LEARNING"
HEALTHCARE,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,0.9,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,0.9,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AUTOMOBILE,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AUTOMOBILE,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AUTOMOBILE,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.89,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.89,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,0.88,MACHINE LEARNING,"PYTHON, SQL, NLP, TABLEAU"
HEALTHCARE,0.88,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.88,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,0.87,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,0.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.87,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AUTOMOBILE,0.86,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.86,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ARTS,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.86,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
HR,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,0.86,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BANKING,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,0.86,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,0.85,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
